100
0 3 6
99 92 9
84 90 7
61 35 6
72 80 6
33 38 5
15 80 10
15 11 4
98 34 18
80 79 10
28 15 1
10 63 19
95 42 5
32 82 18
94 59 18
38 35 14
31 73 6
87 46 1
59 35 16
4 7 7
74 61 15
42 63 1
26 60 10
3 35 7
51 44 13
31 83 6
16 92 4
53 75 11
52 31 1
51 36 12
3 69 14
31 66 16
92 30 12
92 89 17
64 88 3
58 20 4
85 72 10
74 41 10
58 93 2
71 82 9
20 22 1
39 67 5
60 94 2
54 62 3
77 46 6
50 2 11
27 70 9
28 76 1
44 50 12
9 98 13
56 82 4
67 15 8
10 29 3
44 34 14
42 73 1
97 16 9
29 84 2
41 19 1
30 56 2
19 24 16
7 41 15
7 34 7
62 96 1
91 52 9
19 58 14
7 52 19
98 29 2
89 2 1
34 5 1
15 94 10
64 1 17
72 8 15
34 37 2
27 80 5
1 42 5
73 87 8
43 39 5
57 36 15
11 32 7
75 82 2
21 1 1
49 11 14
94 18 1
45 72 5
16 52 8
68 75 6
89 45 14
20 29 5
6 32 7
99 0 11
72 69 14
41 65 18
96 26 13
52 96 14
49 88 3
90 26 1
25 44 2
27 31 12
36 97 19
81 53 7
60 51 1
5 68 12
57 69 9
49 68 14
5 71 7
72 27 16
34 79 4
37 31 10
59 83 11
76 52 5
48 10 14
73 5 2
49 39 13
4 1 16
43 64 11
84 48 2
50 19 13
96 36 13
63 87 16
35 84 10
18 78 16
66 89 3
38 45 3
65 74 2
68 94 15
2 91 16
22 89 11
85 39 17
32 14 19
12 46 17
40 30 13
28 80 10
51 55 13
29 54 14
22 55 14
87 84 16
19 86 5
7 9 13
6 60 12
67 74 8
2 70 19
14 64 13
54 86 1
84 18 18
80 33 2
35 45 13
67 55 9
11 71 10
51 78 4
62 70 14
81 17 19
84 2 19
87 92 5
61 58 19
48 67 4
80 62 14
32 20 15
86 61 9
51 69 12
93 30 10
81 9 7
88 94 3
34 38 5
12 49 14
12 74 11
15 95 17
96 41 18
57 79 2
13 56 3
80 8 7
41 77 17
45 88 12
28 69 12
31 82 18
60 14 14
0 95 18
25 33 3
92 21 9
7 55 14
64 82 13
10 60 17
85 79 18
1 80 18
76 90 8
16 11 16
29 27 7
80 98 12
6 51 19
89 25 6
84 60 14
91 97 4
13 36 9
53 62 5
62 71 16
2 3 3
98 80 9
50 98 4
21 11 11
99 90 10
60 79 7
85 43 18
77 60 16
39 65 13
9 83 13
7 89 19
56 86 16
86 15 18
72 16 18
74 94 8
40 63 15
30 10 18
35 98 1
81 55 17
85 9 13
40 68 11
95 43 8
65 94 10
86 79 19
41 32 7
4 26 17
15 42 19
74 34 1
55 0 4
56 81 12
43 89 6
78 83 12
11 15 16
6 2 18
58 11 14
98 20 11
79 96 9
23 4 11
1 40 4
15 26 8
5 77 15
50 48 8
37 75 10
61 37 6
20 50 6
49 56 13
29 72 6
21 16 3
74 20 8
26 40 16
42 52 19
40 14 13
35 47 10
8 65 14
76 4 4
3 72 7
2 58 4
52 83 14
78 96 8
20 42 12
22 93 15
70 45 6
23 70 7
23 59 11
23 90 3
80 93 13
92 85 7
95 12 2
33 94 16
5 89 17
43 59 18
55 35 1
27 12 3
61 38 3
74 4 10
32 57 7
17 23 13
59 12 13
25 77 3
44 69 1
27 57 11
46 80 13
38 59 8
42 91 14
24 6 9
36 12 19
31 72 7
15 59 7
19 71 14
0 13 2
73 45 3
79 48 14
79 28 9
47 2 5
74 68 6
84 5 4
37 80 1
59 37 17
44 14 18
62 82 17
71 19 18
86 70 6
15 21 7
4 93 16
51 96 6
48 12 11
12 84 7
27 66 3
76 11 15
85 24 18
92 81 4
94 56 19
59 24 3
59 15 6
74 64 6
88 17 6
6 72 3
38 77 16
26 36 10
57 59 9
39 42 13
73 88 10
79 63 6
8 26 1
77 42 9
12 26 14
5 83 13
94 54 11
97 50 18
71 95 1
77 7 15
9 1 5
38 78 4
49 92 1
96 14 9
88 34 6
16 72 8
55 3 6
43 58 9
17 6 6
6 93 11
49 55 6
15 17 4
22 99 8
18 27 17
83 78 7
76 67 11
66 49 12
54 60 10
9 10 12
77 84 2
6 77 6
56 37 17
53 42 13
13 58 13
10 37 10
73 25 8
93 29 4
28 81 16
9 34 4
96 37 3
82 5 3
62 84 10
51 6 12
75 65 18
75 8 18
37 89 11
53 93 19
49 46 4
73 80 6
65 2 12
24 87 11
74 67 7
63 24 7
64 15 9
32 51 15
40 15 17
64 8 13
26 20 19
68 45 1
33 80 18
88 45 4
90 25 4
12 89 4
86 66 18
71 49 2
5 25 15
55 82 8
86 84 6
36 75 6
89 11 3
95 46 6
61 43 19
54 13 10
92 80 17
72 62 11
50 27 14
96 68 14
70 66 1
62 94 12
20 35 9
49 64 14
74 12 5
70 27 12
32 81 6
79 58 19
58 84 8
15 14 4
98 50 12
58 64 18
62 22 13
23 61 19
21 95 4
60 10 7
82 28 17
66 88 16
66 24 15
9 28 9
65 29 5
56 9 8
29 25 18
16 54 13
8 19 15
95 25 3
54 44 15
72 52 3
46 47 14
96 28 11
23 8 10
47 45 11
62 38 7
79 22 10
59 93 19
31 11 16
29 52 14
53 86 14
2 23 4
61 57 14
46 98 11
90 82 9
22 20 10
81 41 1
12 27 11
35 21 18
82 19 10
19 36 3
78 63 19
76 88 19
13 76 14
6 45 2
44 19 3
82 10 16
23 86 1
10 11 6
10 70 6
9 75 13
60 0 1
34 40 3
53 27 15
35 86 2
62 73 8
98 38 15
53 47 8
93 88 1
42 77 13
55 67 15
50 84 16
2 38 2
66 77 19
80 84 3
44 27 2
83 42 11
42 71 11
54 71 15
65 33 12
41 47 8
32 62 1
47 82 2
16 56 1
28 16 17
6 10 2
84 37 9
71 44 6
14 88 16
98 53 6
47 20 11
93 84 5
61 28 11
53 85 9
34 25 19
84 83 4
37 59 16
25 18 4
45 92 10
32 53 19
90 86 12
71 51 19
6 14 8
23 96 8
83 80 3
38 70 15
79 29 8
15 77 17
45 25 2
39 88 18
53 25 14
70 75 6
99 72 18
69 86 1
18 81 11
85 34 13
46 89 1
36 16 17
82 32 19
17 50 5
30 44 3
59 68 5
61 30 2
37 10 19
64 24 8
71 27 8
9 90 8
42 6 4
91 4 9
96 53 4
67 37 4
20 57 6
26 33 14
28 20 15
1 94 6
5 64 10
91 63 3
63 18 8
13 78 10
67 40 18
52 71 14
40 44 16
83 86 10
55 22 2
61 18 4
94 58 8
1 11 1
57 11 3
93 90 6
96 35 17
81 44 12
97 48 7
31 52 5
45 22 18
76 22 1
3 77 9
76 1 2
63 79 19
79 12 8
44 99 15
18 52 4
14 91 16
35 55 13
46 40 18
58 77 10
44 76 16
51 62 16
8 83 18
72 96 2
49 86 12
3 2 12
31 65 11
14 78 10
63 36 19
37 44 12
31 94 11
85 82 4
69 17 12
46 16 3
98 30 13
77 26 11
35 54 5
58 67 4
91 45 19
97 52 14
24 1 14
89 22 17
75 14 11
88 69 11
68 70 16
3 43 10
53 6 19
20 0 18
97 35 7
10 68 10
45 30 12
8 33 17
83 13 10
25 29 2
99 17 18
60 20 13
97 31 13
36 9 12
65 88 1
43 21 3
72 32 17
45 43 3
61 70 5
1 61 8
4 10 14
23 39 12
85 65 10
26 69 13
64 31 1
1 77 6
32 23 16
58 21 15
23 95 7
54 32 17
62 50 12
24 21 19
90 2 19
75 81 11
13 28 18
23 33 11
46 62 17
3 58 6
70 74 1
81 51 10
38 60 14
95 41 12
99 3 4
79 23 18
30 72 14
90 30 5
71 22 3
74 82 9
44 33 6
68 32 17
73 97 14
51 95 14
81 1 9
80 14 9
77 52 6
3 89 5
55 12 2
48 99 18
65 12 12
97 59 14
20 12 17
25 58 9
3 78 19
86 51 7
13 57 12
86 17 9
33 61 19
73 96 13
18 89 5
80 64 11
36 54 7
13 86 1
67 22 13
69 98 13
64 97 16
78 74 16
29 16 19
66 23 17
44 57 2
66 40 16
57 81 9
30 38 4
41 45 12
88 42 12
32 56 16
72 61 8
82 35 9
36 68 17
70 61 5
75 33 7
28 27 5
67 97 6
81 39 1
14 43 8
28 88 17
23 54 2
59 13 19
96 91 17
4 58 19
61 67 2
79 98 2
31 86 16
10 59 8
99 50 17
58 5 16
18 79 5
34 42 6
54 9 7
79 60 1
36 15 8
45 56 10
30 86 10
57 8 13
80 60 16
45 78 10
80 63 15
60 91 13
55 71 4
89 85 16
19 66 9
4 84 6
80 95 10
65 71 1
74 88 6
43 67 12
9 74 1
60 21 5
61 39 6
79 4 16
26 86 9
58 55 3
40 47 3
0 49 9
61 42 13
75 13 7
46 7 19
80 51 18
32 17 4
68 81 16
82 76 11
88 66 10
40 21 17
37 57 15
14 0 7
6 95 5
39 37 2
56 67 14
83 75 18
87 56 14
47 37 4
39 95 2
53 26 2
14 68 3
23 98 13
92 9 9
61 78 19
1 15 14
58 71 2
75 3 11
72 94 5
30 41 5
59 32 10
96 13 8
38 88 2
10 33 9
30 0 19
35 41 12
15 55 16
98 73 7
70 21 5
51 86 10
44 24 13
63 81 9
4 78 17
13 71 15
14 60 7
97 32 5
90 45 3
49 9 1
11 88 15
75 19 4
55 75 10
13 48 13
60 39 8
55 66 15
7 76 9
85 64 10
72 55 16
80 56 19
86 10 10
35 16 11
94 14 7
27 85 19
1 7 3
71 25 1
30 66 19
20 26 19
48 46 7
92 10 19
49 53 1
83 36 13
29 53 7
69 46 14
46 15 10
50 35 2
34 66 11
17 81 12
39 12 5
21 84 5
21 25 3
62 18 10
68 48 11
47 73 3
22 23 18
0 64 7
90 67 17
46 32 17
69 44 14
23 78 12
63 95 11
52 4 11
62 21 13
65 69 15
77 25 12
56 25 6
13 79 14
73 83 7
38 26 7
96 84 15
87 44 11
49 50 11
47 27 3
17 4 10
6 68 7
90 10 14
97 58 12
58 78 13
63 14 2
85 83 1
89 87 14
35 56 12
33 42 14
22 68 5
11 57 3
46 87 7
73 33 10
71 78 2
6 34 19
5 60 10
46 29 4
71 6 9
70 98 17
29 39 10
10 74 2
71 54 6
49 70 18
84 65 4
20 78 17
22 62 15
91 1 19
37 65 19
85 55 11
95 87 10
91 26 10
58 95 13
3 33 8
58 31 15
99 14 18
90 54 9
43 72 14
10 23 1
40 31 4
84 22 16
65 17 11
86 50 4
73 6 7
57 30 10
78 42 15
59 28 3
91 31 16
59 70 12
49 26 1
25 85 3
33 47 3
18 2 6
97 77 15
29 70 4
85 86 7
54 10 13
72 6 3
83 2 7
65 24 8
94 29 14
79 99 2
95 31 5
31 45 15
54 99 12
12 11 10
53 55 7
91 62 14
47 31 11
36 23 11
20 23 19
1 85 8
64 79 9
21 80 18
42 46 15
98 70 5
94 3 2
9 72 11
32 36 5
15 37 19
98 13 5
21 3 13
6 71 7
80 89 4
76 30 1
67 28 6
0 26 2
20 36 19
69 68 8
42 93 10
0 79 8
32 75 15
63 71 17
56 85 9
26 29 8
38 85 5
38 64 8
58 30 19
75 57 7
31 46 6
63 8 1
15 24 9
9 26 14
22 59 17
88 26 3
84 88 18
82 70 13
94 39 12
89 19 9
3 86 4
77 75 7
91 50 8
61 36 9
89 82 12
50 9 5
22 6 7
9 63 3
88 54 19
24 77 18
69 31 18
66 53 14
56 71 3
52 18 10
38 97 15
46 48 1
9 6 7
30 20 3
52 23 6
12 45 15
81 7 13
80 25 13
34 96 13
89 94 10
81 56 14
75 47 19
32 79 19
73 28 2
50 85 2
78 86 15
86 80 3
6 26 3
12 32 10
12 92 17
4 85 19
60 64 12
84 33 10
9 56 2
13 40 1
36 22 18
24 33 1
66 56 14
99 55 10
67 58 3
59 60 4
63 16 9
48 28 7
89 63 13
57 38 13
51 0 17
52 81 1
44 18 17
8 75 3
13 33 17
88 95 13
96 76 10
69 78 17
52 56 16
46 76 7
15 35 13
82 39 1
29 43 17
32 12 3
12 59 10
58 99 9
47 65 10
51 37 10
37 58 5
58 33 16
60 78 17
35 42 16
21 54 18
23 25 3
76 58 12
82 71 2
20 27 4
49 66 17
3 7 10
70 91 12
53 33 18
1 46 13
25 14 9
19 82 10
96 63 4
49 99 6
25 13 13
76 0 6
27 48 19
80 77 8
61 33 4
37 79 10
66 37 11
21 63 6
98 36 13
47 67 17
52 74 19
26 83 13
83 94 14
57 74 15
71 87 15
18 11 11
10 25 11
80 69 11
44 70 4
60 16 1
70 2 7
98 51 7
56 27 10
98 26 14
24 72 18
50 5 7
70 94 12
76 16 6
39 20 2
45 89 11
40 97 2
66 12 17
99 28 16
41 52 3
72 60 13
82 12 15
3 52 9
17 3 4
0 16 18
9 84 7
72 91 17
49 91 15
24 43 17
86 95 9
77 70 11
14 41 7
73 63 1
62 81 13
67 11 3
36 59 15
7 51 17
99 59 11
10 99 14
29 6 6
45 60 11
26 32 10
99 57 3
83 87 11
55 37 17
62 0 3
93 45 18
34 76 4
53 12 9
4 87 1
81 23 11
52 65 17
53 97 7
26 70 17
86 31 18
67 87 11
55 83 12
1 31 5
27 19 13
35 69 12
19 63 2
8 68 16
49 77 5
82 85 3
50 39 16
3 62 13
66 94 6
45 66 18
3 21 8
94 25 13
85 1 19
69 41 12
19 28 2
57 87 7
93 13 3
91 24 17
10 48 9
80 23 15
43 66 14
37 94 6
50 81 3
36 35 1
89 51 1
86 14 6
13 62 2
18 8 17
71 80 14
77 5 5
37 62 9
60 35 8
64 96 10
19 72 8
89 77 4
53 84 5
48 83 14
48 74 6
0 18 12
14 65 14
59 92 13
73 3 4
22 97 6
19 95 17
95 30 1
15 45 8
66 27 11
35 70 19
12 57 19
66 44 1
93 95 19
15 44 14
48 81 12
77 58 8
59 18 17
89 0 2
55 19 2
63 42 15
73 50 9
17 59 7
28 51 7
41 39 17
0 86 3
57 32 18
35 94 10
17 43 1
96 65 3
77 13 12
48 36 19
67 29 12
53 66 15
25 50 2
13 3 2
85 19 12
93 49 12
24 13 14
79 72 7
73 51 12
57 63 6
72 18 7
4 74 17
5 26 2
70 49 17
11 92 9
28 70 1
24 86 14
77 9 11
79 83 10
9 20 7
74 59 18
28 35 19
98 77 15
26 93 10
23 1 13
38 93 4
2 61 4
27 56 7
55 91 14
73 40 4
36 62 6
94 67 9
31 0 18
37 4 10
91 69 5
52 78 5
49 32 5
53 11 15
6 91 2
86 63 6
80 88 5
62 95 10
3 64 3
0 31 1
45 35 9
0 74 3
76 99 18
97 56 10
99 48 17
66 9 2
36 46 15
57 12 1
10 86 4
68 43 16
67 64 10
24 58 10
82 40 8
36 88 3
64 23 9
38 30 4
90 39 7
5 0 9
21 87 8
46 4 12
25 67 2
78 56 4
41 18 15
94 64 1
64 39 12
36 95 17
42 20 5
36 38 19
20 46 10
28 62 7
54 20 16
83 43 11
47 51 9
17 73 1
71 35 3
78 39 14
69 50 2
53 17 12
71 31 1
7 3 1
46 95 7
50 66 1
9 27 10
77 94 14
96 46 2
25 57 14
13 0 3
3 79 9
22 40 5
72 88 19
60 46 18
32 83 11
84 40 13
18 25 7
67 79 15
24 52 4
44 83 5
87 75 5
31 16 16
43 17 19
68 9 10
7 6 12
85 38 2
55 73 12
6 37 2
38 80 9
31 4 3
43 8 11
99 70 19
17 34 8
32 11 9
1 59 5
84 56 2
24 47 17
23 69 16
11 94 8
82 24 15
27 61 3
84 25 14
68 28 15
12 28 12
25 82 11
35 77 16
85 33 7
81 76 6
21 72 7
64 30 1
64 73 5
46 70 17
78 4 15
84 6 13
33 82 5
97 85 19
63 70 11
83 59 6
72 13 6
29 10 8
28 49 14
19 25 9
85 71 2
23 99 18
6 50 18
60 22 15
76 87 16
11 1 1
64 93 19
92 91 18
91 92 9
26 15 1
59 80 8
15 18 6
50 26 10
59 36 18
4 52 5
73 84 18
3 6 1
0 8 14
51 54 18
61 17 8
64 9 4
21 10 16
44 10 15
66 81 14
35 79 8
49 58 16
45 27 4
84 24 10
90 28 18
39 96 11
32 84 13
73 69 11
5 87 4
2 14 12
98 44 4
40 33 19
83 61 17
37 50 8
16 55 6
85 30 14
83 48 17
56 88 13
72 73 18
46 78 17
18 88 10
82 49 11
52 82 1
8 56 19
45 82 13
78 25 5
76 24 1
75 29 3
96 49 10
0 59 12
80 15 9
30 64 12
9 42 13
73 29 9
10 9 2
81 75 4
71 26 4
42 34 9
37 97 16
45 21 15
76 15 8
93 89 10
52 88 12
96 12 15
10 57 8
70 93 5
89 17 17
5 33 15
21 44 5
47 40 17
31 15 12
86 93 8
85 74 12
54 67 12
62 13 6
77 51 3
5 53 5
85 14 8
49 71 16
5 75 10
71 64 18
36 30 14
34 75 12
27 3 17
11 36 13
24 12 3
35 38 12
47 13 3
54 7 11
64 17 18
4 15 8
16 24 16
64 7 11
15 85 13
1 17 13
25 2 8
17 57 19
13 43 7
24 75 4
5 3 5
34 36 14
47 77 18
4 92 12
77 64 9
74 51 14
85 16 19
17 12 3
46 9 7
78 53 11
4 65 15
43 82 12
84 23 9
42 9 16
97 7 8
46 71 3
89 86 7
48 56 8
56 52 7
89 8 5
76 59 1
80 47 14
92 96 6
81 46 6
23 0 1
50 58 15
58 18 14
13 15 6
81 45 15
86 0 1
51 98 4
65 59 8
98 14 13
80 74 10
47 10 15
57 76 3
45 46 11
78 75 1
96 85 14
67 14 11
63 90 3
60 67 18
88 0 13
52 15 4
22 87 4
57 22 16
48 45 17
69 55 11
35 46 8
72 59 6
49 90 7
81 84 9
44 72 8
32 47 1
91 19 2
30 60 2
7 57 7
38 55 8
60 29 14
50 86 6
11 21 12
25 22 6
20 84 15
63 11 12
87 36 5
67 57 11
0 72 8
2 92 6
31 47 4
48 47 10
35 15 10
28 66 3
90 23 10
74 55 4
47 0 6
95 8 13
90 53 9
17 83 18
7 33 11
23 44 14
75 83 14
14 42 13
41 99 15
7 20 14
29 26 2
7 4 9
22 51 1
94 32 12
31 42 3
36 13 14
1 39 9
12 31 11
27 93 1
65 16 12
19 74 3
23 72 15
92 38 16
73 32 12
36 4 12
70 82 3
42 4 1
87 8 8
23 56 10
41 20 17
48 25 11
57 75 19
18 65 10
68 4 6
60 70 12
39 47 8
10 35 10
49 52 4
83 96 6
51 91 9
28 67 7
24 8 14
41 1 5
28 91 19
60 6 14
32 30 15
61 84 15
9 36 12
55 52 6
57 70 8
11 50 9
1 78 15
21 28 7
4 16 18
54 95 14
55 92 18
98 69 19
59 34 4
33 5 17
53 73 19
22 78 14
69 0 17
25 56 12
77 67 7
39 59 17
60 56 11
72 77 3
31 50 17
29 86 9
48 89 2
17 54 7
41 35 17
16 63 8
78 98 13
17 45 18
29 0 13
75 16 12
16 95 8
75 67 3
52 26 12
54 15 14
53 31 13
10 8 1
20 58 17
66 68 15
87 3 17
38 0 9
79 57 17
29 47 16
71 30 17
83 72 3
15 88 9
58 10 18
80 29 3
94 89 18
8 98 4
93 80 18
55 38 9
82 78 15
79 36 4
18 30 18
97 9 9
6 9 9
30 5 6
81 68 6
10 58 19
42 28 13
75 90 8
54 50 2
9 51 4
20 72 2
92 2 15
65 75 14
93 28 10
88 92 7
4 55 11
0 36 11
68 25 18
16 74 14
40 69 4
62 1 10
30 34 13
81 5 3
73 76 6
14 11 3
92 58 15
64 44 12
94 97 2
0 20 5
77 43 7
48 65 16
41 71 10
25 20 11
95 65 17
97 74 17
23 19 16
65 57 18
56 12 14
78 44 6
94 23 10
96 79 13
33 78 14
39 58 6
91 54 8
60 49 12
91 41 19
95 83 1
67 13 16
7 36 16
39 33 5
17 41 17
30 4 6
91 86 3
10 55 14
4 79 5
31 6 14
27 65 5
38 72 16
47 72 14
9 18 19
63 57 11
26 57 8
93 0 6
85 92 12
26 49 15
64 34 19
87 61 13
34 62 2
34 77 1
81 99 6
17 76 4
34 16 8
27 4 4
67 4 14
66 41 16
31 71 8
72 17 9
62 39 12
59 65 18
36 83 13
25 28 10
43 63 6
59 16 7
86 18 12
90 13 6
48 34 9
87 1 16
79 9 9
21 64 18
11 84 15
61 82 3
94 2 9
44 1 5
24 56 9
5 95 15
50 56 9
67 30 4
3 25 13
76 94 2
78 7 18
32 4 2
81 27 8
34 48 17
52 0 18
63 85 4
39 9 14
79 21 12
1 38 3
56 22 1
84 41 7
9 57 8
53 34 4
77 92 1
76 83 13
77 34 3
65 99 4
11 64 4
42 24 11
33 28 11
8 44 11
73 20 7
81 8 17
34 13 16
64 98 1
17 0 18
11 10 15
21 50 9
83 32 18
53 68 13
59 98 6
11 29 16
14 26 10
53 57 5
58 24 12
19 34 9
77 45 1
92 31 6
60 76 15
60 38 13
82 11 19
39 57 14
50 69 17
0 32 18
94 33 13
35 82 10
0 54 14
96 20 15
44 60 17
18 62 6
32 42 3
22 13 1
85 76 14
14 97 3
84 19 18
83 54 2
30 43 17
83 18 12
90 48 8
32 97 6
51 82 13
28 72 18
23 57 13
46 19 2
3 92 3
83 4 14
57 56 7
34 24 14
74 79 7
86 69 16
69 71 17
5 85 1
84 64 6
20 66 3
86 20 7
88 43 2
55 74 17
76 46 14
82 45 7
81 36 4
23 32 2
7 8 14
11 7 3
48 59 19
51 93 3
88 50 11
53 0 10
59 86 12
57 93 6
6 25 18
46 74 7
22 47 14
25 36 15
15 68 14
55 32 13
88 64 9
53 36 14
57 5 12
82 48 7
89 40 14
80 67 5
61 73 14
44 53 7
51 88 1
29 5 3
10 61 11
25 31 17
70 28 18
84 7 7
44 28 7
95 88 16
42 87 17
23 68 9
1 98 17
95 22 19
80 61 5
39 27 7
13 69 5
71 3 10
25 55 18
25 0 3
38 94 8
54 97 7
17 30 13
98 68 13
79 41 9
91 13 11
76 89 1
78 91 15
49 15 19
30 46 13
8 24 7
32 89 17
13 91 18
73 2 9
19 53 7
10 52 10
8 45 16
40 96 1
30 99 17
27 67 7
86 9 6
17 35 7
31 20 16
56 63 3
45 79 19
99 82 5
62 25 11
3 90 2
8 64 13
20 68 5
93 73 11
46 18 9
35 1 8
46 52 18
58 92 15
43 57 12
71 75 19
82 41 16
14 90 19
56 78 6
34 88 12
99 18 5
34 44 17
90 0 10
79 67 7
92 71 13
68 29 1
41 21 7
82 55 14
99 49 18
37 8 13
54 53 14
51 59 8
54 14 13
75 25 5
91 68 2
9 77 18
90 70 7
54 5 5
10 1 10
48 95 19
13 65 5
85 8 16
92 42 14
53 78 10
97 25 9
98 96 13
92 68 14
4 64 6
72 3 19
30 2 5
75 97 11
42 79 16
54 36 15
11 70 2
78 16 12
62 52 10
42 69 8
49 29 6
84 15 14
46 64 17
12 56 5
26 96 10
11 40 9
98 40 4
29 20 5
50 16 3
20 3 5
19 38 12
81 21 1
24 78 3
57 55 9
71 56 8
80 0 10
21 8 10
21 73 15
46 0 19
47 91 9
10 26 10
27 63 18
70 64 2
78 87 18
77 76 11
9 8 10
28 25 4
21 69 18
49 5 16
46 96 7
26 91 13
53 63 18
69 16 12
23 80 10
96 78 11
77 44 10
66 76 15
15 58 14
30 51 17
31 57 4
36 10 13
69 5 4
27 87 7
21 19 1
28 74 6
24 71 13
52 33 4
18 14 9
96 81 8
24 70 2
85 40 6
96 22 5
76 80 12
81 16 11
1 20 11
60 36 12
49 22 6
95 68 12
96 97 7
61 75 7
39 71 4
18 15 13
30 1 3
98 10 10
56 35 14
72 22 18
62 15 5
30 63 1
68 52 9
40 29 14
51 12 13
3 10 15
70 59 12
15 33 5
20 30 11
47 21 12
76 51 17
69 43 13
12 87 6
92 36 13
60 72 6
97 33 6
80 82 13
0 37 6
0 57 18
94 6 10
95 77 18
85 75 14
16 22 9
95 3 13
96 75 15
29 57 1
23 42 3
15 86 15
52 75 13
91 83 8
54 4 15
8 58 4
70 34 14
95 36 1
62 30 17
20 24 6
61 93 19
64 67 17
2 64 19
48 61 14
35 14 5
67 82 16
0 82 19
6 13 14
51 33 6
74 10 7
99 10 11
96 19 4
83 55 13
1 71 9
46 44 18
5 39 2
56 31 1
38 47 6
46 84 7
71 13 11
16 28 4
2 53 6
8 27 5
19 69 15
67 12 6
51 9 7
14 27 17
30 54 2
0 83 9
0 94 8
95 53 2
23 58 9
18 91 12
27 2 1
57 99 16
21 35 4
55 10 4
18 44 15
53 32 13
11 24 12
44 25 6
76 20 4
40 48 14
93 81 14
69 33 7
25 79 1
30 70 7
60 26 3
97 24 12
10 38 10
97 98 4
15 57 17
